Round,Date,Home Team,Home Score,Away Team,Away Score,Venue,,,,,,,,
7,Saturday 1 May 2010,Canterbury Tactix,38,Southern Steel,66,"Westpac Arena, Christchurch",,,,,,,,
7,Sunday 2 May  2010,New South Wales Swifts,56,Melbourne Vixens,42,"Acer Arena, Sydney",,,,,,,,
7,Monday 3 May  2010,Waikato Bay of Plenty Magic,49,Northern Mystics,46,"Mystery Creek Events Centre, Hamilton",,,,,,,,
7,Monday 3 May  2010,Queensland Firebirds,63,West Coast Fever,57,Brisbane Convention and Exhibition Centre,,,,,,,,
8,Saturday 8 May 2010,Waikato Bay of Plenty Magic,56,Central Pulse,44,"Energy Events Centre, Rotorua",,,,,,,,
8,Sunday 9 May 2010,New South Wales Swifts,60,Adelaide Thunderbirds,44,"State Sports Centre, Sydney",,,,,,,,
8,Monday 10 May 2010,Southern Steel,49,Northern Mystics,52,"Stadium Southland, Invercargill",,,,,,,,
8,Monday 10 May 2010,Melbourne Vixens,53,West Coast Fever,56,"Hisense Arena, Melbourne",,,,,,,,
9,Saturday 15 May 2010,Waikato Bay of Plenty Magic,72,Canterbury Tactix,52,"Mystery Creek Events Centre, Hamilton",,,,,,,,
9,Sunday 16 May 2010,Adelaide Thunderbirds,58,Melbourne Vixens,47,"ETSA Park, Adelaide",,,,,,,,
9,Monday 17 May 2010,Northern Mystics,61,Central Pulse,60,"Trusts Stadium, Auckland",,,,,,,,
9,Monday 17 May 2010,New South Wales Swifts,44,Queensland Firebirds,40,"State Sports Centre, Sydney",,,,,,,,
10,Saturday 22 May 2010,Central Pulse,45,Canterbury Tactix,43,"TSB Bank Arena, Wellington",,,,,,,,
10,Sunday 23 May 2010,Adelaide Thunderbirds,53,Queensland Firebirds,51,"ETSA Park, Adelaide",,,,,,,,
10,Monday 24 May 2010,Southern Steel,52,Waikato Bay of Plenty Magic,47,"Stadium Southland, Invercargill",,,,,,,,
10,Monday 24 May 2010,West Coast Fever,52,New South Wales Swifts,61,"Challenge Stadium, Perth",,,,,,,,
11,Saturday 29 May 2010,Northern Mystics,48,New South Wales Swifts,54,"Trusts Stadium, Auckland",,,,,,,,
11,Sunday 30 May 2010,Adelaide Thunderbirds,58,Canterbury Tactix,34,"ETSA Park, Adelaide",,,,,,,,
11,Sunday 30 May 2010,Southern Steel,52,Melbourne Vixens,39,"Edgar Centre, Dunedin",,,,,,,,
11,Monday 31 May 2010,Waikato Bay of Plenty Magic,54,Queensland Firebirds,55,"Energy Events Centre, Rotorua",,,,,,,,
11,Monday 31 May 2010,West Coast Fever,63,Central Pulse,45,"Challenge Stadium, Perth",,,,,,,,
12,Saturday 5 June 2010,Northern Mystics,62,West Coast Fever,53,"North Shore Events Centre, Auckland",,,,,,,,
12,Saturday 5 June 2010,Queensland Firebirds,52,Central Pulse,42,Brisbane Convention and Exhibition Centre,,,,,,,,
12,Sunday 6 June 2010,Melbourne Vixens,43,Adelaide Thunderbirds,54,"Hisense Arena, Melbourne",,,,,,,,
12,Monday 7 June 2010,Southern Steel,53,Canterbury Tactix,39,"Stadium Southland, Invercargill",,,,,,,,
12,Monday 7 June 2010,New South Wales Swifts,60,Waikato Bay of Plenty Magic,43,"State Sports Centre, Sydney",,,,,,,,
13,Saturday 12 June 2010,Central Pulse,52,Waikato Bay of Plenty Magic,58,"Pettigrew Green Arena, Napier",,,,,,,,
13,Saturday 12 June 2010,Melbourne Vixens,46,New South Wales Swifts,58,"Hisense Arena, Melbourne",,,,,,,,
13,Sunday 13 June 2010,Adelaide Thunderbirds,54,West Coast Fever,45,"Adelaide Arena, Adelaide",,,,,,,,
13,Monday 14 June 2010,Northern Mystics,43,Southern Steel,50,"Trusts Stadium, Auckland",,,,,,,,
13,Monday 14 June 2010,Queensland Firebirds,75,Canterbury Tactix,32,Brisbane Convention and Exhibition Centre,,,,,,,,
14,Saturday 19 June 2010,Waikato Bay of Plenty Magic,53,Adelaide Thunderbirds,44,"Energy Events Centre, Rotorua",,,,,,,,
14,Sunday 20 June 2010,West Coast Fever,67,Queensland Firebirds,59,"Challenge Stadium, Perth",,,,,,,,
14,Sunday 20 June 2010,Canterbury Tactix,47,Northern Mystics,58,"Westpac Arena, Christchurch",,,,,,,,
14,Monday 21 June 2010,Central Pulse,48,Melbourne Vixens,49,"Te Rauparaha Arena, Porirua",,,,,,,,
14,Monday 21 June 2010,New South Wales Swifts,55,Southern Steel,38,"State Sports Centre, Sydney",,,,,,,,
15,Sunday 27 June 2010,New South Wales Swifts,38,Adelaide Thunderbirds,52,"Acer Arena, Sydney",,,,,,,,
15,Monday 28 June 2010,Waikato Bay of Plenty Magic,50,Southern Steel,42,"Vector Arena, Auckland ",,,,,,,,
16,Sunday 4 July 2010,New South Wales Swifts,49,Waikato Bay of Plenty Magic,54,Newcastle Entertainment Centre,,,,,,,,
17,Sunday 11 July 2010,Adelaide Thunderbirds,52,Waikato Bay of Plenty Magic,42,Adelaide Entertainment Centre,,,,,,,,
1,Sunday 13 February 2011,New South Wales Swifts,60,Adelaide Thunderbirds,40,"State Sports Centre, Sydney",,,,,,,,
1,Monday 14 February 2011,Northern Mystics,51,Southern Steel,34,"Trusts Stadium, Auckland",,,,,,,,
2,Saturday 19 February 2011,Central Pulse,44,Northern Mystics,54,"Te Rauparaha Arena, Porirua",,,,,,,,
2,Sunday 20 February 2011,Adelaide Thunderbirds,47,Melbourne Vixens,65,"ETSA Park, Adelaide",,,,,,,,
2,Sunday 20 February 2011,Waikato Bay of Plenty Magic,51,Southern Steel,36,"Energy Events Centre, Rotorua",,,,,,,,
2,Monday 21 February 2011,Canterbury Tactix,48,West Coast Fever,54,"CBS Canterbury Arena, Christchurch",,,,,,,,
2,Monday 21 February 2011,Queensland Firebirds,51,New South Wales Swifts,48,Brisbane Convention and Exhibition Centre,,,,,,,,
3,Thursday 24 February 2011,Northern Mystics,39,Waikato Bay of Plenty Magic,45,"Trusts Stadium, Auckland",,,,,,,,
3,Thursday 24 February 2011,West Coast Fever,53,Adelaide Thunderbirds,72,"Challenge Stadium, Perth",,,,,,,,
3,Saturday 26 February 2011,Central Pulse,43,Southern Steel,45,"Te Rauparaha Arena, Porirua",,,,,,,,
3,Saturday 26 February 2011,Queensland Firebirds,64,Adelaide Thunderbirds,41,Brisbane Convention and Exhibition Centre,,,,,,,,
3,Sunday 27 February 2011,New South Wales Swifts,45,Melbourne Vixens,49,"State Sports Centre, Sydney",,,,,,,,
3,Thursday 7 April 2011,Canterbury Tactix,45,Northern Mystics,58,"Vector Arena, Auckland",,,,,,,,
3,Monday 28 February 2011,Central Pulse,44,Waikato Bay of Plenty Magic,46,"TSB Bank Arena, Wellington",,,,,,,,
3,Monday 28 February 2011,West Coast Fever,38,Queensland Firebirds,62,"Challenge Stadium, Perth",,,,,,,,
4,Saturday 5 March 2011,Adelaide Thunderbirds,51,Central Pulse,41,"ETSA Park, Adelaide",,,,,,,,
4,Sunday 6 March 2011,Queensland Firebirds,51,Southern Steel,36,Brisbane Convention and Exhibition Centre,,,,,,,,
